InventoryID,Glottocode,LanguageName,Macroarea,Source,n_segments
1483,aari1239,Aari,Africa,ph,36
1617,abar1238,Mungbam,Africa,ph,36
1160,abau1245,Abau,Papunesia,ph,14
649,abid1235,Abidji,Africa,aa,39
1526,abid1235,Abidji,Africa,ph,38
1914,abip1241,Abipon,South America,saphon,23
235,abip1241,ABIPON,South America,upsid,20
1923,abis1238,Aʔɨwa,South America,saphon,27
2468,abkh1244,Abkhaz,Eurasia,ea,62
2552,abkh1244,Abkhaz,Eurasia,ea,70
1297,abua1244,Abua,Africa,ph,40
1701,abuj1237,Abujmaria,Eurasia,ra,39
1521,abur1243,Abure,Africa,ph,38
587,acat1239,TLAPANEC,North America,upsid,30
2548,acha1249,Achang,Eurasia,ea,59
1803,acha1250,Achagua,South America,saphon,29
1428,ache1245,Asharon,Africa,ph,38
2068,ache1246,Aché,South America,saphon,34
348,ache1246,ACHE,South America,upsid,21
1093,achi1257,Acehnese,Eurasia,ph,55
199,achu1247,ACHUMAWI,North America,upsid,23
1946,achu1248,Achuar-Shiwiar,South America,saphon,27
1433,acol1236,Acholi,Africa,ph,29
712,adam1253,Fulfulde,Africa,aa,34
1234,adam1253,Adamawa Fulfulde; Adamawa Fulani,Africa,ph,36
1241,adam1253,Fulfulde (Cameroon),Africa,ph,47
1253,adam1253,fulfulde (fuunaangere),Africa,ph,39
692,adan1247,Dangme,Africa,aa,39
1090,adan1251,Adang,Papunesia,ph,40
650,adio1239,Adioukrou,Africa,aa,31
1527,adio1239,Adioukrou,Africa,ph,32
2931,adny1235,Adnyamathanha,Australia,er,27
2349,adyg1241,Adyghe,Eurasia,ea,59
41,adze1240,Adzera,Papunesia,spa,25
200,adze1240,ADZERA,Papunesia,upsid,25
198,afad1236,KOTOKO,Africa,upsid,36
1342,afar1241,Afar,Africa,ph,27
1295,afit1238,Afitti,Africa,ph,26
1395,afri1274,Afrikaans,Africa,ph,39
1524,aghe1239,Aghem,Africa,ph,49
204,aghe1239,AGHEM,Africa,upsid,35
2880,aghu1254,Aghu Tharnggala,Australia,er,27
1947,agua1253,Aguaruna,South America,saphon,20
1400,ahan1243,Ahanta,Africa,ph,40
1544,ahan1244,Ahaan,Africa,ph,43
1014,aheu1239,So,Eurasia,ph,72
1216,aheu1239,Aheu; Thavung,Eurasia,ph,47
206,ahte1237,AHTNA,North America,upsid,35
